seq;Amplitude;min;max;Dur_Cheia;Dur_Enchente;Dur_Seca;Dur_Vazante;intensEnch;intensVaz;Ano
1;12.53;16.25;28.78;151;93;103;46;0.0574;-0.1367;1904
2;8.37;17.69;26.06;22;142;94;69;0.0486;-0.0852;1905
3;8.5;17.51;26.01;7;190;73;87;0.03;-0.0694;1906
4;12.99;14.2;27.19;87;96;149;51;0.0676;-0.1197;1907
5;12.47;16.44;28.91;157;102;90;41;0.0611;-0.1455;1908
6;11.07;18.09;29.16;138;116;53;30;0.0517;-0.1944;1909
7;12.76;15.05;27.81;113;83;143;48;0.0587;-0.1308;1910
8;9.17;18.39;27.56;110;133;66;46;0.0427;-0.1292;1911
9;8.78;16.08;24.86;1;192;72;102;0.0269;-0.0535;1912
10;9.09;19.41;28.5;141;126;75;66;0.0416;-0.0785;1913
11;8.36;20.08;28.44;115;161;1;61;0.0352;-0.0933;1914
12;10.23;17.5;27.73;119;93;84;49;0.0619;-0.1208;1915
13;10.07;16.62;26.69;68;147;83;46;0.0455;-0.1354;1916
14;12.35;14.41;26.76;50;131;132;67;0.0489;-0.0933;1917
15;11.26;17.48;28.74;142;112;77;43;0.0489;-0.1365;1918
16;7.85;18.51;26.36;46;151;83;79;0.0359;-0.0721;1919
17;11.8;16.76;28.56;153;101;97;92;0.0498;-0.0611;1920
18;9.16;19.8;28.96;132;111;15;47;0.054;-0.1251;1921
19;12.04;17.31;29.35;172;107;63;68;0.056;-0.0805;1922
20;8.12;20.07;28.19;177;96;1;47;0.0371;-0.1269;1923
21;9.34;16.75;26.09;17;187;76;59;0.0304;-0.0971;1924
22;11.12;17.31;28.43;143;111;98;48;0.0444;-0.1333;1925
23;9.9;17.66;27.56;105;113;76;62;0.0497;-0.1049;1927
24;9.71;18.78;28.49;134;135;44;35;0.0458;-0.1754;1928
25;9.95;18.19;28.14;106;103;122;46;0.0423;-0.1287;1929
26;10.71;16.98;27.69;116;100;103;55;0.0514;-0.1138;1930
27;8.3;18.36;26.66;62;117;94;60;0.0482;-0.1042;1931
28;10.28;17.48;27.76;132;96;112;51;0.0504;-0.1188;1932
29;10.25;17.86;28.11;113;103;97;31;0.0505;-0.1954;1933
30;11.25;16.41;27.66;129;108;111;57;0.0518;-0.0947;1934
31;7.57;20.09;27.66;109;180;1;55;0.0288;-0.1098;1935
32;10.49;16.15;26.64;58;111;99;65;0.052;-0.082;1936
33;11.95;14.96;26.91;70;114;150;48;0.0506;-0.1272;1937
34;11.79;16.12;27.91;120;76;145;37;0.0754;-0.1617;1938
35;10.08;17.96;28.04;130;115;97;100;0.0457;-0.0631;1939
36;6.7;20.06;26.76;62;168;1;126;0.0297;-0.0479;1940
37;7.51;19.58;27.09;105;123;17;47;0.0434;-0.1292;1941
